DGRP	Stock
DGRP_208	25174
DGRP_301	25175
DGRP_303	25176
DGRP_304	25177
DGRP_307	25179
DGRP_313	25180
DGRP_315	25181
DGRP_324	25182
DGRP_335	25183
DGRP_357	25184
DGRP_358	25185
DGRP_360	25186
DGRP_362	25187
DGRP_375	25188
DGRP_379	25189
DGRP_380	25190
DGRP_391	25191
DGRP_399	25192
DGRP_427	25193
DGRP_437	25194
DGRP_486	25195
DGRP_517	25197
DGRP_555	25198
DGRP_639	25199
DGRP_707	25200
DGRP_712	25201
DGRP_730	25202
DGRP_732	25203
DGRP_765	25204
DGRP_774	25205
DGRP_786	25206
DGRP_799	25207
DGRP_820	25208
DGRP_852	25209
DGRP_859	25210
DGRP_365	25445
DGRP_705	25744
DGRP_714	25745
DGRP_021	28122
DGRP_026	28123
DGRP_028	28124
DGRP_038	28125
DGRP_041	28126
DGRP_042	28127
DGRP_045	28128
DGRP_059	28129
DGRP_069	28130
DGRP_073	28131
DGRP_075	28132
DGRP_083	28134
DGRP_088	28135
DGRP_091	28136
DGRP_093	28137
DGRP_101	28138
DGRP_105	28139
DGRP_109	28140
DGRP_129	28141
DGRP_136	28142
DGRP_138	28143
DGRP_142	28144
DGRP_149	28145
DGRP_153	28146
DGRP_158	28147
DGRP_161	28148
DGRP_176	28149
DGRP_177	28150
DGRP_181	28151
DGRP_189	28152
DGRP_195	28153
DGRP_217	28154
DGRP_223	28155
DGRP_227	28156
DGRP_228	28157
DGRP_233	28159
DGRP_237	28160
DGRP_239	28161
DGRP_256	28162
DGRP_280	28164
DGRP_287	28165
DGRP_309	28166
DGRP_317	28167
DGRP_318	28168
DGRP_325	28170
DGRP_332	28171
DGRP_336	28172
DGRP_338	28173
DGRP_340	28174
DGRP_350	28176
DGRP_352	28177
DGRP_356	28178
DGRP_359	28179
DGRP_361	28180
DGRP_367	28181
DGRP_370	28182
DGRP_371	28183
DGRP_373	28184
DGRP_374	28185
DGRP_377	28186
DGRP_381	28188
DGRP_382	28189
DGRP_383	28190
DGRP_385	28191
DGRP_386	28192
DGRP_392	28194
DGRP_426	28196
DGRP_440	28197
DGRP_441	28198
DGRP_443	28199
DGRP_461	28200
DGRP_491	28202
DGRP_492	28203
DGRP_502	28204
DGRP_508	28205
DGRP_509	28206
DGRP_531	28207
DGRP_535	28208
DGRP_563	28211
DGRP_584	28212
DGRP_589	28213
DGRP_595	28215
DGRP_642	28216
DGRP_646	28217
DGRP_703	28218
DGRP_716	28219
DGRP_721	28220
DGRP_727	28221
DGRP_737	28222
DGRP_738	28223
DGRP_748	28224
DGRP_757	28226
DGRP_761	28227
DGRP_776	28229
DGRP_783	28230
DGRP_787	28231
DGRP_790	28232
DGRP_796	28233
DGRP_801	28234
DGRP_802	28235
DGRP_804	28236
DGRP_805	28237
DGRP_808	28238
DGRP_810	28239
DGRP_812	28240
DGRP_818	28241
DGRP_819	28242
DGRP_821	28243
DGRP_822	28244
DGRP_832	28245
DGRP_837	28246
DGRP_843	28247
DGRP_849	28248
DGRP_850	28249
DGRP_853	28250
DGRP_855	28251
DGRP_857	28252
DGRP_861	28253
DGRP_879	28254
DGRP_882	28255
DGRP_884	28256
DGRP_890	28257
DGRP_892	28258
DGRP_894	28259
DGRP_897	28260
DGRP_900	28261
DGRP_907	28262
DGRP_908	28263
DGRP_911	28264
DGRP_913	28265
DGRP_085	28274
DGRP_235	28275
DGRP_310	28276
DGRP_409	28278
DGRP_887	28279
DGRP_040	29651
DGRP_057	29652
DGRP_229	29653
DGRP_320	29654
DGRP_321	29655
DGRP_405	29656
DGRP_406	29657
DGRP_439	29658
DGRP_513	29659
DGRP_530	29660
DGRP_306	37525
DGRP_031	55014
DGRP_032	55015
DGRP_048	55016
DGRP_100	55017
DGRP_319	55018
DGRP_348	55019
DGRP_354	55020
DGRP_390	55021
DGRP_395	55022
DGRP_397	55023
DGRP_505	55024
DGRP_528	55025
DGRP_551	55026
DGRP_559	55027
DGRP_566	55028
DGRP_596	55029
DGRP_627	55030
DGRP_630	55031
DGRP_634	55032
DGRP_355	55038
DGRP_272	28163
DGRP_378	28187
DGRP_387	28193
DGRP_398	28195
DGRP_476	28201
DGRP_554	28209
