dgrp	nber_studies	nber_phenotypes	dgrp_status	fbsn	bloomington_id
DGRP_010	1	5	unavailable		
DGRP_021	50	430	available	FBsn0000006	28122
DGRP_023	1	5	unavailable		
DGRP_026	57	594	available	FBsn0000007	28123
DGRP_028	57	584	available	FBsn0000008	28124
DGRP_031	27	229	available	FBsn0000285	55014
DGRP_032	26	151	available	FBsn0000286	55015
DGRP_036	1	5	unavailable		
DGRP_038	58	534	available	FBsn0000009	28125
DGRP_040	50	464	available	FBsn0000010	29651
DGRP_041	46	365	available	FBsn0000011	28126
DGRP_042	55	468	available	FBsn0000012	28127
DGRP_045	54	535	available	FBsn0000013	28128
DGRP_048	27	206	available	FBsn0000287	55016
DGRP_049	32	358	genotyped	FBsn0000014	
DGRP_055	1	33	unavailable		
DGRP_057	57	534	available	FBsn0000015	29652
DGRP_059	55	570	available	FBsn0000016	28129
DGRP_069	49	441	available	FBsn0000017	28130
DGRP_073	55	605	available	FBsn0000018	28131
DGRP_075	55	552	available	FBsn0000019	28132
DGRP_080	5	26	unavailable	FBsn0000020	
DGRP_083	56	573	available	FBsn0000021	28134
DGRP_084	1	5	unavailable		
DGRP_085	54	572	available	FBsn0000022	28274
DGRP_086	1	5	unavailable		
DGRP_087	1	5	unavailable		
DGRP_088	52	426	available	FBsn0000023	28135
DGRP_089	1	5	unavailable		
DGRP_091	54	501	available	FBsn0000024	28136
DGRP_093	54	484	available	FBsn0000025	28137
DGRP_094	1	5	unavailable		
DGRP_098	1	5	unavailable		
DGRP_100	27	214	available	FBsn0000288	55017
DGRP_101	56	529	available	FBsn0000026	28138
DGRP_102	1	5	unavailable		
DGRP_103	1	5	unavailable		
DGRP_105	55	575	available	FBsn0000027	28139
DGRP_106	1	5	unavailable		
DGRP_107	1	5	unavailable		
DGRP_108	1	5	unavailable		
DGRP_109	56	598	available	FBsn0000028	28140
DGRP_110	2	9	unavailable		
DGRP_112	1	5	unavailable		
DGRP_113	2	9	unavailable		
DGRP_115	1	5	unavailable		
DGRP_117	1	5	unavailable		
DGRP_118	1	5	unavailable		
DGRP_119	1	5	unavailable		
DGRP_123	1	5	unavailable		
DGRP_124	1	5	unavailable		
DGRP_125	1	5	unavailable		
DGRP_129	57	493	available	FBsn0000029	28141
DGRP_136	54	477	available	FBsn0000030	28142
DGRP_138	56	449	available	FBsn0000031	28143
DGRP_142	58	526	available	FBsn0000032	28144
DGRP_149	55	573	available	FBsn0000033	28145
DGRP_153	55	478	available	FBsn0000034	28146
DGRP_158	55	443	genotyped	FBsn0000035	28147
DGRP_159	1	4	unavailable		
DGRP_161	51	510	available	FBsn0000036	28148
DGRP_176	55	552	available	FBsn0000037	28149
DGRP_177	54	454	available	FBsn0000038	28150
DGRP_181	55	555	available	FBsn0000039	28151
DGRP_189	37	292	available	FBsn0000040	28152
DGRP_190	1	12	unavailable		
DGRP_195	58	591	available	FBsn0000041	28153
DGRP_208	65	564	available	FBsn0000042	25174
DGRP_217	57	489	available	FBsn0000043	28154
DGRP_223	32	332	genotyped	FBsn0000044	28155
