DGRP	sex	FoE
DGRP_021	F	0.26865671641791045
DGRP_026	F	0.3623188405797101
DGRP_028	F	0.2876712328767123
DGRP_038	F	0.3013698630136986
DGRP_040	F	0.26785714285714285
DGRP_041	F	0.3333333333333333
DGRP_042	F	0.4861111111111111
DGRP_045	F	0.323943661971831
DGRP_049	F	0.21739130434782608
DGRP_057	F	0.1323529411764706
DGRP_059	F	0.3835616438356164
DGRP_069	F	0.2608695652173913
DGRP_073	F	0.375
DGRP_075	F	0.4246575342465753
DGRP_083	F	0.31081081081081086
DGRP_085	F	0.3561643835616438
DGRP_088	F	0.12307692307692308
DGRP_091	F	0.15942028985507245
DGRP_093	F	0.4084507042253521
DGRP_101	F	0.43243243243243246
DGRP_105	F	0.3055555555555556
DGRP_109	F	0.4571428571428572
DGRP_129	F	0.2328767123287671
DGRP_136	F	0.32432432432432434
DGRP_138	F	0.28169014084507044
DGRP_142	F	0.24637681159420288
DGRP_149	F	0.2222222222222222
DGRP_153	F	0.1791044776119403
DGRP_158	F	0.2112676056338028
DGRP_161	F	0.3870967741935484
DGRP_176	F	0.24285714285714285
DGRP_177	F	0.43283582089552236
DGRP_181	F	0.2318840579710145
DGRP_189	F	0.4
DGRP_195	F	0.22058823529411764
DGRP_208	F	0.425
DGRP_217	F	0.32432432432432434
DGRP_223	F	0.3333333333333333
DGRP_227	F	0.15151515151515152
DGRP_228	F	0.2608695652173913
DGRP_229	F	0.3857142857142857
DGRP_233	F	0.29508196721311475
DGRP_235	F	0.5303030303030303
DGRP_237	F	0.33333333333333337
DGRP_239	F	0.25333333333333335
DGRP_256	F	0.23728813559322035
DGRP_280	F	0.1746031746031746
DGRP_287	F	0.22727272727272727
DGRP_301	F	0.32894736842105265
DGRP_303	F	0.24637681159420288
DGRP_304	F	0.4864864864864865
DGRP_306	F	0.33333333333333337
DGRP_307	F	0.49275362318840576
DGRP_309	F	0.3194444444444444
DGRP_310	F	0.2459016393442623
DGRP_313	F	0.39999999999999997
DGRP_315	F	0.39473684210526316
DGRP_317	F	0.22058823529411764
DGRP_318	F	0.375
DGRP_320	F	0.5192307692307693
DGRP_321	F	0.17543859649122806
DGRP_324	F	0.3289473684210526
DGRP_325	F	0.43859649122807015
DGRP_332	F	0.2608695652173913
DGRP_335	F	0.40789473684210525
DGRP_336	F	0.2542372881355932
DGRP_338	F	0.2676056338028169
DGRP_340	F	0.2641509433962264
DGRP_350	F	0.3380281690140845
DGRP_352	F	0.2835820895522388
DGRP_356	F	0.42647058823529416
DGRP_357	F	0.3835616438356164
DGRP_358	F	0.37333333333333335
DGRP_359	F	0.3571428571428571
DGRP_360	F	0.35064935064935066
DGRP_361	F	0.2
DGRP_362	F	0.3287671232876712
DGRP_365	F	0.275
DGRP_367	F	0.2857142857142857
DGRP_370	F	0.136986301369863
DGRP_371	F	0.40322580645161293
DGRP_373	F	0.2876712328767123
DGRP_374	F	0.37142857142857144
DGRP_375	F	0.44117647058823534
DGRP_377	F	0.36231884057971014
DGRP_379	F	0.42500000000000004
DGRP_380	F	0.34615384615384615
DGRP_381	F	0.24242424242424243
DGRP_382	F	0.509090909090909
DGRP_383	F	0.14285714285714285
DGRP_385	F	0.25925925925925924
DGRP_386	F	0.5
DGRP_391	F	0.29333333333333333
DGRP_392	F	0.2028985507246377
DGRP_399	F	0.3866666666666667
DGRP_405	F	0.2830188679245283
DGRP_406	F	0.3214285714285714
DGRP_409	F	0.4153846153846154
DGRP_426	F	0.31343283582089554
DGRP_427	F	0.3205128205128205
DGRP_437	F	0.2375
DGRP_440	F	0.30666666666666664
DGRP_441	F	0.25
DGRP_443	F	0.18666666666666665
DGRP_461	F	0.45454545454545453
DGRP_486	F	0.3157894736842105
DGRP_491	F	0.3235294117647059
DGRP_492	F	0.35294117647058826
DGRP_502	F	0.4057971014492754
DGRP_508	F	0.3283582089552239
DGRP_509	F	0.2962962962962963
DGRP_513	F	0.2641509433962264
DGRP_517	F	0.31081081081081086
DGRP_535	F	0.23943661971830987
DGRP_555	F	0.22784810126582278
DGRP_563	F	0.360655737704918
DGRP_584	F	0.4310344827586207
DGRP_589	F	0.2567567567567568
DGRP_595	F	0.23880597014925373
DGRP_639	F	0.2602739726027397
DGRP_642	F	0.23880597014925373
DGRP_646	F	0.3833333333333333
DGRP_703	F	0.27142857142857146
DGRP_705	F	0.4714285714285714
DGRP_707	F	0.32432432432432434
DGRP_712	F	0.28378378378378377
DGRP_714	F	0.3291139240506329
DGRP_716	F	0.2898550724637681
DGRP_721	F	0.2916666666666667
DGRP_727	F	0.3571428571428571
DGRP_730	F	0.33333333333333337
DGRP_732	F	0.4155844155844156
DGRP_737	F	0.2
DGRP_738	F	0.25
DGRP_748	F	0.19672131147540983
DGRP_757	F	0.6166666666666667
DGRP_761	F	0.3287671232876712
DGRP_765	F	0.4305555555555556
DGRP_774	F	0.4230769230769231
DGRP_776	F	0.22857142857142856
DGRP_783	F	0.21739130434782608
DGRP_786	F	0.32
DGRP_787	F	0.3333333333333333
DGRP_790	F	0.3194444444444444
DGRP_796	F	0.29577464788732394
DGRP_799	F	0.2923076923076923
DGRP_801	F	0.3287671232876712
DGRP_802	F	0.25
DGRP_804	F	0.37681159420289856
DGRP_805	F	0.3
DGRP_808	F	0.3888888888888889
DGRP_810	F	0.3230769230769231
DGRP_812	F	0.24285714285714285
DGRP_818	F	0.23809523809523808
DGRP_819	F	0.2982456140350877
DGRP_820	F	0.22857142857142856
DGRP_821	F	0.5471698113207547
DGRP_822	F	0.4
DGRP_832	F	0.39344262295081966
DGRP_837	F	0.23880597014925373
DGRP_843	F	0.3448275862068966
DGRP_849	F	0.3833333333333333
DGRP_850	F	0.4107142857142857
DGRP_852	F	0.4583333333333333
DGRP_853	F	0.3125
DGRP_855	F	0.3287671232876712
DGRP_857	F	0.28169014084507044
DGRP_859	F	0.28846153846153844
DGRP_861	F	0.2153846153846154
DGRP_879	F	0.1
DGRP_882	F	0.3561643835616438
DGRP_884	F	0.34328358208955223
DGRP_887	F	0.5272727272727273
DGRP_890	F	0.14084507042253522
DGRP_892	F	0.3561643835616438
DGRP_894	F	0.2638888888888889
DGRP_897	F	0.2923076923076923
DGRP_900	F	0.31666666666666665
DGRP_907	F	0.2676056338028169
DGRP_908	F	0.3382352941176471
DGRP_911	F	0.3968253968253968
DGRP_913	F	0.5079365079365079
