DGRP	sex	FoE
DGRP_021	M	0.32098765432098764
DGRP_026	M	0.4050632911392405
DGRP_028	M	0.2375
DGRP_038	M	0.27848101265822783
DGRP_042	M	0.5128205128205128
DGRP_045	M	0.33766233766233766
DGRP_049	M	0.21794871794871795
DGRP_057	M	0.30666666666666664
DGRP_059	M	0.20987654320987653
DGRP_069	M	0.2727272727272727
DGRP_073	M	0.2948717948717949
DGRP_075	M	0.20253164556962025
DGRP_083	M	0.2875
DGRP_085	M	0.2345679012345679
DGRP_088	M	0.3835616438356164
DGRP_091	M	0.23750000000000002
DGRP_093	M	0.3064516129032258
DGRP_101	M	0.40506329113924056
DGRP_105	M	0.3269230769230769
DGRP_109	M	0.2972972972972973
DGRP_129	M	0.3870967741935484
DGRP_136	M	0.35802469135802467
DGRP_138	M	0.35443037974683544
DGRP_142	M	0.30666666666666664
DGRP_149	M	0.2608695652173913
DGRP_153	M	0.4
DGRP_158	M	0.24675324675324675
DGRP_161	M	0.3648648648648649
DGRP_176	M	0.3026315789473684
DGRP_177	M	0.36000000000000004
DGRP_181	M	0.3150684931506849
DGRP_195	M	0.28
DGRP_208	M	0.33720930232558144
DGRP_217	M	0.35
DGRP_228	M	0.34210526315789475
DGRP_229	M	0.35443037974683544
DGRP_233	M	0.36619718309859156
DGRP_235	M	0.3561643835616438
DGRP_237	M	0.25333333333333335
DGRP_239	M	0.2222222222222222
DGRP_256	M	0.3142857142857143
DGRP_280	M	0.1643835616438356
DGRP_287	M	0.3783783783783784
DGRP_301	M	0.3559322033898305
DGRP_303	M	0.2222222222222222
DGRP_304	M	0.3928571428571429
DGRP_306	M	0.4074074074074074
DGRP_307	M	0.38095238095238093
DGRP_309	M	0.22368421052631576
DGRP_310	M	0.2191780821917808
DGRP_313	M	0.35714285714285715
DGRP_315	M	0.3253012048192771
DGRP_318	M	0.3125
DGRP_324	M	0.3012048192771084
DGRP_325	M	0.3661971830985915
DGRP_332	M	0.24675324675324675
DGRP_335	M	0.5272727272727273
DGRP_336	M	0.23943661971830987
DGRP_338	M	0.2692307692307692
DGRP_350	M	0.4177215189873418
DGRP_352	M	0.5733333333333334
DGRP_356	M	0.30666666666666664
DGRP_357	M	0.3764705882352941
DGRP_358	M	0.4642857142857143
DGRP_359	M	0.2597402597402597
DGRP_360	M	0.30952380952380953
DGRP_362	M	0.34523809523809523
DGRP_365	M	0.3488372093023256
DGRP_367	M	0.3287671232876712
DGRP_370	M	0.2962962962962963
DGRP_373	M	0.2911392405063291
DGRP_374	M	0.31081081081081086
DGRP_375	M	0.3333333333333333
DGRP_377	M	0.3066666666666667
DGRP_379	M	0.43023255813953487
DGRP_380	M	0.4166666666666667
DGRP_381	M	0.2602739726027397
DGRP_383	M	0.1875
DGRP_386	M	0.3389830508474576
DGRP_391	M	0.2857142857142857
DGRP_392	M	0.41333333333333333
DGRP_399	M	0.38823529411764707
DGRP_426	M	0.29577464788732394
DGRP_427	M	0.25609756097560976
DGRP_437	M	0.3023255813953488
DGRP_440	M	0.2345679012345679
DGRP_441	M	0.2638888888888889
DGRP_443	M	0.35802469135802467
DGRP_461	M	0.3835616438356164
DGRP_486	M	0.38271604938271603
DGRP_491	M	0.3561643835616438
DGRP_492	M	0.381578947368421
DGRP_502	M	0.28378378378378377
DGRP_508	M	0.3918918918918919
DGRP_509	M	0.28985507246376807
DGRP_517	M	0.3448275862068966
DGRP_535	M	0.19230769230769232
DGRP_555	M	0.3294117647058824
DGRP_563	M	0.3866666666666667
DGRP_589	M	0.2716049382716049
DGRP_595	M	0.2567567567567568
DGRP_639	M	0.2823529411764706
DGRP_642	M	0.3698630136986301
DGRP_646	M	0.323943661971831
DGRP_703	M	0.1794871794871795
DGRP_705	M	0.41071428571428575
DGRP_707	M	0.2857142857142857
DGRP_712	M	0.3048780487804878
DGRP_714	M	0.38095238095238093
DGRP_716	M	0.3116883116883117
DGRP_721	M	0.2784810126582279
DGRP_727	M	0.30508474576271183
DGRP_730	M	0.32558139534883723
DGRP_732	M	0.4
DGRP_737	M	0.2839506172839506
DGRP_738	M	0.2911392405063291
DGRP_761	M	0.34615384615384615
DGRP_765	M	0.5238095238095237
DGRP_774	M	0.41860465116279066
DGRP_776	M	0.2875
DGRP_783	M	0.14473684210526316
DGRP_786	M	0.3614457831325301
DGRP_787	M	0.189873417721519
DGRP_790	M	0.40506329113924056
DGRP_796	M	0.2875
DGRP_799	M	0.34177215189873417
DGRP_801	M	0.1625
DGRP_802	M	0.31645569620253167
DGRP_804	M	0.2763157894736842
DGRP_805	M	0.21666666666666667
DGRP_808	M	0.25925925925925924
DGRP_810	M	0.3150684931506849
DGRP_812	M	0.22784810126582278
DGRP_818	M	0.1917808219178082
DGRP_820	M	0.2625
DGRP_822	M	0.2962962962962963
DGRP_832	M	0.31081081081081086
DGRP_837	M	0.31081081081081086
DGRP_852	M	0.4567901234567901
DGRP_853	M	0.27142857142857146
DGRP_855	M	0.35802469135802467
DGRP_857	M	0.35526315789473684
DGRP_861	M	0.42666666666666664
DGRP_879	M	0.4025974025974026
DGRP_882	M	0.3492063492063492
DGRP_884	M	0.1891891891891892
DGRP_890	M	0.275
DGRP_892	M	0.39743589743589747
DGRP_894	M	0.4155844155844156
DGRP_897	M	0.4383561643835616
DGRP_907	M	0.28205128205128205
DGRP_908	M	0.41333333333333333
DGRP_911	M	0.3291139240506329
