DGRP	sex	FoE
DGRP_021	F	0.26865671641791045
DGRP_021	M	0.32098765432098764
DGRP_026	F	0.3623188405797101
DGRP_026	M	0.4050632911392405
DGRP_028	F	0.2876712328767123
DGRP_028	M	0.2375
DGRP_038	F	0.3013698630136986
DGRP_038	M	0.27848101265822783
DGRP_040	F	0.26785714285714285
DGRP_041	F	0.3333333333333333
DGRP_042	F	0.4861111111111111
DGRP_042	M	0.5128205128205128
DGRP_045	F	0.323943661971831
DGRP_045	M	0.33766233766233766
DGRP_049	F	0.21739130434782608
DGRP_049	M	0.21794871794871795
DGRP_057	F	0.1323529411764706
DGRP_057	M	0.30666666666666664
DGRP_059	F	0.3835616438356164
DGRP_059	M	0.20987654320987653
DGRP_069	F	0.2608695652173913
DGRP_069	M	0.2727272727272727
DGRP_073	F	0.375
DGRP_073	M	0.2948717948717949
DGRP_075	F	0.4246575342465753
DGRP_075	M	0.20253164556962025
DGRP_083	F	0.31081081081081086
DGRP_083	M	0.2875
DGRP_085	F	0.3561643835616438
DGRP_085	M	0.2345679012345679
DGRP_088	F	0.12307692307692308
DGRP_088	M	0.3835616438356164
DGRP_091	F	0.15942028985507245
DGRP_091	M	0.23750000000000002
DGRP_093	F	0.4084507042253521
DGRP_093	M	0.3064516129032258
DGRP_101	F	0.43243243243243246
DGRP_101	M	0.40506329113924056
DGRP_105	F	0.3055555555555556
DGRP_105	M	0.3269230769230769
DGRP_109	F	0.4571428571428572
DGRP_109	M	0.2972972972972973
DGRP_129	F	0.2328767123287671
DGRP_129	M	0.3870967741935484
DGRP_136	F	0.32432432432432434
DGRP_136	M	0.35802469135802467
DGRP_138	F	0.28169014084507044
DGRP_138	M	0.35443037974683544
DGRP_142	F	0.24637681159420288
DGRP_142	M	0.30666666666666664
DGRP_149	F	0.2222222222222222
DGRP_149	M	0.2608695652173913
DGRP_153	F	0.1791044776119403
DGRP_153	M	0.4
DGRP_158	F	0.2112676056338028
DGRP_158	M	0.24675324675324675
DGRP_161	F	0.3870967741935484
DGRP_161	M	0.3648648648648649
DGRP_176	F	0.24285714285714285
DGRP_176	M	0.3026315789473684
DGRP_177	F	0.43283582089552236
DGRP_177	M	0.36000000000000004
DGRP_181	F	0.2318840579710145
DGRP_181	M	0.3150684931506849
DGRP_189	F	0.4
DGRP_195	F	0.22058823529411764
DGRP_195	M	0.28
DGRP_208	F	0.425
DGRP_208	M	0.33720930232558144
DGRP_217	F	0.32432432432432434
DGRP_217	M	0.35
DGRP_223	F	0.3333333333333333
DGRP_227	F	0.15151515151515152
DGRP_228	F	0.2608695652173913
DGRP_228	M	0.34210526315789475
DGRP_229	F	0.3857142857142857
DGRP_229	M	0.35443037974683544
DGRP_233	F	0.29508196721311475
DGRP_233	M	0.36619718309859156
DGRP_235	F	0.5303030303030303
DGRP_235	M	0.3561643835616438
DGRP_237	F	0.33333333333333337
DGRP_237	M	0.25333333333333335
DGRP_239	F	0.25333333333333335
DGRP_239	M	0.2222222222222222
DGRP_256	F	0.23728813559322035
DGRP_256	M	0.3142857142857143
DGRP_280	F	0.1746031746031746
DGRP_280	M	0.1643835616438356
DGRP_287	F	0.22727272727272727
DGRP_287	M	0.3783783783783784
DGRP_301	F	0.32894736842105265
DGRP_301	M	0.3559322033898305
DGRP_303	F	0.24637681159420288
DGRP_303	M	0.2222222222222222
DGRP_304	F	0.4864864864864865
DGRP_304	M	0.3928571428571429
DGRP_306	F	0.33333333333333337
DGRP_306	M	0.4074074074074074
DGRP_307	F	0.49275362318840576
DGRP_307	M	0.38095238095238093
DGRP_309	F	0.3194444444444444
DGRP_309	M	0.22368421052631576
DGRP_310	F	0.2459016393442623
DGRP_310	M	0.2191780821917808
DGRP_313	F	0.39999999999999997
DGRP_313	M	0.35714285714285715
DGRP_315	F	0.39473684210526316
DGRP_315	M	0.3253012048192771
DGRP_317	F	0.22058823529411764
DGRP_318	F	0.375
DGRP_318	M	0.3125
DGRP_320	F	0.5192307692307693
DGRP_321	F	0.17543859649122806
DGRP_324	F	0.3289473684210526
DGRP_324	M	0.3012048192771084
DGRP_325	F	0.43859649122807015
DGRP_325	M	0.3661971830985915
DGRP_332	F	0.2608695652173913
DGRP_332	M	0.24675324675324675
DGRP_335	F	0.40789473684210525
DGRP_335	M	0.5272727272727273
DGRP_336	F	0.2542372881355932
DGRP_336	M	0.23943661971830987
DGRP_338	F	0.2676056338028169
DGRP_338	M	0.2692307692307692
DGRP_340	F	0.2641509433962264
DGRP_350	F	0.3380281690140845
DGRP_350	M	0.4177215189873418
DGRP_352	F	0.2835820895522388
DGRP_352	M	0.5733333333333334
DGRP_356	F	0.42647058823529416
DGRP_356	M	0.30666666666666664
DGRP_357	F	0.3835616438356164
DGRP_357	M	0.3764705882352941
DGRP_358	F	0.37333333333333335
DGRP_358	M	0.4642857142857143
DGRP_359	F	0.3571428571428571
DGRP_359	M	0.2597402597402597
DGRP_360	F	0.35064935064935066
DGRP_360	M	0.30952380952380953
DGRP_361	F	0.2
DGRP_362	F	0.3287671232876712
DGRP_362	M	0.34523809523809523
DGRP_365	F	0.275
DGRP_365	M	0.3488372093023256
DGRP_367	F	0.2857142857142857
DGRP_367	M	0.3287671232876712
DGRP_370	F	0.136986301369863
DGRP_370	M	0.2962962962962963
DGRP_371	F	0.40322580645161293
DGRP_373	F	0.2876712328767123
DGRP_373	M	0.2911392405063291
DGRP_374	F	0.37142857142857144
DGRP_374	M	0.31081081081081086
DGRP_375	F	0.44117647058823534
DGRP_375	M	0.3333333333333333
DGRP_377	F	0.36231884057971014
DGRP_377	M	0.3066666666666667
DGRP_379	F	0.42500000000000004
DGRP_379	M	0.43023255813953487
DGRP_380	F	0.34615384615384615
DGRP_380	M	0.4166666666666667
DGRP_381	F	0.24242424242424243
DGRP_381	M	0.2602739726027397
DGRP_382	F	0.509090909090909
DGRP_383	F	0.14285714285714285
DGRP_383	M	0.1875
DGRP_385	F	0.25925925925925924
DGRP_386	F	0.5
DGRP_386	M	0.3389830508474576
DGRP_391	F	0.29333333333333333
DGRP_391	M	0.2857142857142857
DGRP_392	F	0.2028985507246377
DGRP_392	M	0.41333333333333333
DGRP_399	F	0.3866666666666667
DGRP_399	M	0.38823529411764707
DGRP_405	F	0.2830188679245283
DGRP_406	F	0.3214285714285714
DGRP_409	F	0.4153846153846154
DGRP_426	F	0.31343283582089554
DGRP_426	M	0.29577464788732394
DGRP_427	F	0.3205128205128205
DGRP_427	M	0.25609756097560976
DGRP_437	F	0.2375
DGRP_437	M	0.3023255813953488
DGRP_440	F	0.30666666666666664
DGRP_440	M	0.2345679012345679
DGRP_441	F	0.25
DGRP_441	M	0.2638888888888889
DGRP_443	F	0.18666666666666665
DGRP_443	M	0.35802469135802467
DGRP_461	F	0.45454545454545453
DGRP_461	M	0.3835616438356164
DGRP_486	F	0.3157894736842105
DGRP_486	M	0.38271604938271603
DGRP_491	F	0.3235294117647059
DGRP_491	M	0.3561643835616438
DGRP_492	F	0.35294117647058826
DGRP_492	M	0.381578947368421
DGRP_502	F	0.4057971014492754
DGRP_502	M	0.28378378378378377
DGRP_508	F	0.3283582089552239
DGRP_508	M	0.3918918918918919
DGRP_509	F	0.2962962962962963
DGRP_509	M	0.28985507246376807
DGRP_513	F	0.2641509433962264
DGRP_517	F	0.31081081081081086
DGRP_517	M	0.3448275862068966
DGRP_535	F	0.23943661971830987
DGRP_535	M	0.19230769230769232
DGRP_555	F	0.22784810126582278
DGRP_555	M	0.3294117647058824
DGRP_563	F	0.360655737704918
DGRP_563	M	0.3866666666666667
DGRP_584	F	0.4310344827586207
DGRP_589	F	0.2567567567567568
DGRP_589	M	0.2716049382716049
DGRP_595	F	0.23880597014925373
DGRP_595	M	0.2567567567567568
DGRP_639	F	0.2602739726027397
DGRP_639	M	0.2823529411764706
DGRP_642	F	0.23880597014925373
DGRP_642	M	0.3698630136986301
DGRP_646	F	0.3833333333333333
DGRP_646	M	0.323943661971831
DGRP_703	F	0.27142857142857146
DGRP_703	M	0.1794871794871795
DGRP_705	F	0.4714285714285714
DGRP_705	M	0.41071428571428575
DGRP_707	F	0.32432432432432434
DGRP_707	M	0.2857142857142857
DGRP_712	F	0.28378378378378377
DGRP_712	M	0.3048780487804878
DGRP_714	F	0.3291139240506329
DGRP_714	M	0.38095238095238093
DGRP_716	F	0.2898550724637681
DGRP_716	M	0.3116883116883117
DGRP_721	F	0.2916666666666667
DGRP_721	M	0.2784810126582279
DGRP_727	F	0.3571428571428571
DGRP_727	M	0.30508474576271183
DGRP_730	F	0.33333333333333337
DGRP_730	M	0.32558139534883723
DGRP_732	F	0.4155844155844156
DGRP_732	M	0.4
DGRP_737	F	0.2
DGRP_737	M	0.2839506172839506
DGRP_738	F	0.25
DGRP_738	M	0.2911392405063291
DGRP_748	F	0.19672131147540983
DGRP_757	F	0.6166666666666667
DGRP_761	F	0.3287671232876712
DGRP_761	M	0.34615384615384615
DGRP_765	F	0.4305555555555556
DGRP_765	M	0.5238095238095237
DGRP_774	F	0.4230769230769231
DGRP_774	M	0.41860465116279066
DGRP_776	F	0.22857142857142856
DGRP_776	M	0.2875
DGRP_783	F	0.21739130434782608
DGRP_783	M	0.14473684210526316
DGRP_786	F	0.32
DGRP_786	M	0.3614457831325301
DGRP_787	F	0.3333333333333333
DGRP_787	M	0.189873417721519
DGRP_790	F	0.3194444444444444
DGRP_790	M	0.40506329113924056
DGRP_796	F	0.29577464788732394
DGRP_796	M	0.2875
DGRP_799	F	0.2923076923076923
DGRP_799	M	0.34177215189873417
DGRP_801	F	0.3287671232876712
DGRP_801	M	0.1625
DGRP_802	F	0.25
DGRP_802	M	0.31645569620253167
DGRP_804	F	0.37681159420289856
DGRP_804	M	0.2763157894736842
DGRP_805	F	0.3
DGRP_805	M	0.21666666666666667
DGRP_808	F	0.3888888888888889
DGRP_808	M	0.25925925925925924
DGRP_810	F	0.3230769230769231
DGRP_810	M	0.3150684931506849
DGRP_812	F	0.24285714285714285
DGRP_812	M	0.22784810126582278
DGRP_818	F	0.23809523809523808
DGRP_818	M	0.1917808219178082
DGRP_819	F	0.2982456140350877
DGRP_820	F	0.22857142857142856
DGRP_820	M	0.2625
DGRP_821	F	0.5471698113207547
DGRP_822	F	0.4
DGRP_822	M	0.2962962962962963
DGRP_832	F	0.39344262295081966
DGRP_832	M	0.31081081081081086
DGRP_837	F	0.23880597014925373
DGRP_837	M	0.31081081081081086
DGRP_843	F	0.3448275862068966
DGRP_849	F	0.3833333333333333
DGRP_850	F	0.4107142857142857
DGRP_852	F	0.4583333333333333
DGRP_852	M	0.4567901234567901
DGRP_853	F	0.3125
DGRP_853	M	0.27142857142857146
DGRP_855	F	0.3287671232876712
DGRP_855	M	0.35802469135802467
DGRP_857	F	0.28169014084507044
DGRP_857	M	0.35526315789473684
DGRP_859	F	0.28846153846153844
DGRP_861	F	0.2153846153846154
DGRP_861	M	0.42666666666666664
DGRP_879	F	0.1
DGRP_879	M	0.4025974025974026
DGRP_882	F	0.3561643835616438
DGRP_882	M	0.3492063492063492
DGRP_884	F	0.34328358208955223
DGRP_884	M	0.1891891891891892
DGRP_887	F	0.5272727272727273
DGRP_890	F	0.14084507042253522
DGRP_890	M	0.275
DGRP_892	F	0.3561643835616438
DGRP_892	M	0.39743589743589747
DGRP_894	F	0.2638888888888889
DGRP_894	M	0.4155844155844156
DGRP_897	F	0.2923076923076923
DGRP_897	M	0.4383561643835616
DGRP_900	F	0.31666666666666665
DGRP_907	F	0.2676056338028169
DGRP_907	M	0.28205128205128205
DGRP_908	F	0.3382352941176471
DGRP_908	M	0.41333333333333333
DGRP_911	F	0.3968253968253968
DGRP_911	M	0.3291139240506329
DGRP_913	F	0.5079365079365079
