FID	IID	fraction_extreme_M
line_21	line_21	0.32098765
line_26	line_26	0.40506329
line_28	line_28	0.23750000
line_31	line_31	0.50000000
line_32	line_32	0.45454545
line_38	line_38	0.27848101
line_40	line_40	0.26086957
line_41	line_41	0.23809524
line_42	line_42	0.51282051
line_45	line_45	0.33766234
line_48	line_48	0.26086957
line_49	line_49	0.21794872
line_57	line_57	0.30666667
line_59	line_59	0.20987654
line_69	line_69	0.27272727
line_73	line_73	0.29487179
line_75	line_75	0.20253165
line_83	line_83	0.28750000
line_85	line_85	0.23456790
line_88	line_88	0.38356164
line_91	line_91	0.23750000
line_93	line_93	0.30645161
line_100	line_100	0.27272727
line_101	line_101	0.40506329
line_105	line_105	0.32692308
line_109	line_109	0.29729730
line_129	line_129	0.38709677
line_136	line_136	0.35802469
line_138	line_138	0.35443038
line_142	line_142	0.30666667
line_149	line_149	0.26086957
line_153	line_153	0.40000000
line_158	line_158	0.24675325
line_161	line_161	0.36486486
line_176	line_176	0.30263158
line_177	line_177	0.36000000
line_181	line_181	0.31506849
line_189	line_189	0.43243243
line_195	line_195	0.28000000
line_208	line_208	0.33720930
line_217	line_217	0.35000000
line_223	line_223	0.34210526
line_227	line_227	0.20000000
line_228	line_228	0.34210526
line_229	line_229	0.35443038
line_233	line_233	0.36619718
line_235	line_235	0.35616438
line_237	line_237	0.25333333
line_239	line_239	0.22222222
line_256	line_256	0.31428571
line_280	line_280	0.16438356
line_287	line_287	0.37837838
line_301	line_301	0.35593220
line_303	line_303	0.22222222
line_304	line_304	0.39285714
line_306	line_306	0.40740741
line_307	line_307	0.38095238
line_309	line_309	0.22368421
line_310	line_310	0.21917808
line_313	line_313	0.35714286
line_315	line_315	0.32530120
line_317	line_317	0.20833333
line_318	line_318	0.31250000
line_319	line_319	0.37931034
line_320	line_320	0.33333333
line_321	line_321	0.26086957
line_324	line_324	0.30120482
line_325	line_325	0.36619718
line_332	line_332	0.24675325
line_335	line_335	0.52727273
line_336	line_336	0.23943662
line_338	line_338	0.26923077
line_340	line_340	0.33333333
line_348	line_348	0.22222222
line_350	line_350	0.41772152
line_352	line_352	0.57333333
line_354	line_354	0.13636364
line_355	line_355	0.18750000
line_356	line_356	0.30666667
line_357	line_357	0.37647059
line_358	line_358	0.46428571
line_359	line_359	0.25974026
line_360	line_360	0.30952381
line_361	line_361	0.24390244
line_362	line_362	0.34523810
line_365	line_365	0.34883721
line_367	line_367	0.32876712
line_370	line_370	0.29629630
line_371	line_371	0.24444444
line_373	line_373	0.29113924
line_374	line_374	0.31081081
line_375	line_375	0.33333333
line_377	line_377	0.30666667
line_379	line_379	0.43023256
