FID	IID	high_extreme_F
line_21	line_21	0.13432836
line_26	line_26	0.04347826
line_28	line_28	0.19178082
line_31	line_31	0.19047619
line_32	line_32	0.12000000
line_38	line_38	0.12328767
line_40	line_40	0.16071429
line_41	line_41	0.31666667
line_42	line_42	0.11111111
line_45	line_45	0.16901408
line_48	line_48	0.26923077
line_49	line_49	0.08695652
line_57	line_57	0.08823529
line_59	line_59	0.27397260
line_69	line_69	0.05797101
line_73	line_73	0.16666667
line_75	line_75	0.34246575
line_83	line_83	0.12162162
line_85	line_85	0.16438356
line_88	line_88	0.07692308
line_91	line_91	0.08695652
line_93	line_93	0.22535211
line_100	line_100	0.20000000
line_101	line_101	0.35135135
line_105	line_105	0.26388889
line_109	line_109	0.35714286
line_129	line_129	0.05479452
line_136	line_136	0.28378378
line_138	line_138	0.11267606
line_142	line_142	0.13043478
line_149	line_149	0.06349206
line_153	line_153	0.10447761
line_158	line_158	0.15492958
line_161	line_161	0.25806452
line_176	line_176	0.15714286
line_177	line_177	0.13432836
line_181	line_181	0.10144928
line_189	line_189	0.12000000
line_195	line_195	0.16176471
line_208	line_208	0.23750000
line_217	line_217	0.21621622
line_223	line_223	0.16666667
line_227	line_227	0.03030303
line_228	line_228	0.15942029
line_229	line_229	0.10000000
line_233	line_233	0.13114754
line_235	line_235	0.09090909
line_237	line_237	0.28985507
line_239	line_239	0.16000000
line_256	line_256	0.08474576
line_280	line_280	0.07936508
line_287	line_287	0.09090909
line_301	line_301	0.27631579
line_303	line_303	0.13043478
line_304	line_304	0.31081081
line_306	line_306	0.12500000
line_307	line_307	0.17391304
line_309	line_309	0.15277778
line_310	line_310	0.06557377
line_313	line_313	0.28571429
line_315	line_315	0.22368421
line_317	line_317	0.11764706
line_318	line_318	0.20833333
line_319	line_319	0.20454545
line_320	line_320	0.21153846
line_321	line_321	0.07017544
line_324	line_324	0.11842105
line_325	line_325	0.07017544
line_332	line_332	0.10144928
line_335	line_335	0.11842105
line_336	line_336	0.10169492
