FID	IID	high_extreme_NA
line_21	line_21	0.25000000
line_26	line_26	0.09615385
line_28	line_28	0.06250000
line_32	line_32	0.42857143
line_38	line_38	0.27083333
line_40	line_40	0.36538462
line_41	line_41	0.08510638
line_42	line_42	0.07692308
line_45	line_45	0.09615385
line_49	line_49	0.36363636
line_57	line_57	0.11538462
line_59	line_59	0.05769231
line_69	line_69	0.11538462
line_73	line_73	0.04255319
line_75	line_75	0.07692308
line_83	line_83	0.05769231
line_85	line_85	0.23529412
line_88	line_88	0.24390244
line_91	line_91	0.19230769
line_93	line_93	0.03846154
line_100	line_100	0.42857143
line_101	line_101	0.15384615
line_105	line_105	0.04255319
line_109	line_109	0.12195122
line_129	line_129	0.07692308
line_136	line_136	0.12195122
line_138	line_138	0.14583333
line_142	line_142	0.15384615
line_149	line_149	0.11538462
line_153	line_153	0.04166667
line_158	line_158	0.05769231
line_161	line_161	0.04255319
line_176	line_176	0.19230769
line_177	line_177	0.15384615
line_181	line_181	0.17021277
line_189	line_189	0.04761905
line_195	line_195	0.17307692
line_208	line_208	0.30357143
line_217	line_217	0.11538462
line_223	line_223	0.20000000
line_227	line_227	0.07692308
line_228	line_228	0.05769231
line_229	line_229	0.05769231
line_233	line_233	0.08333333
line_235	line_235	0.15384615
line_237	line_237	0.11538462
line_239	line_239	0.21153846
line_256	line_256	0.02173913
line_280	line_280	0.09615385
line_287	line_287	0.07843137
line_301	line_301	0.20000000
line_303	line_303	0.11538462
line_304	line_304	0.08571429
line_306	line_306	0.21621622
line_307	line_307	0.08000000
line_309	line_309	0.13461538
line_310	line_310	0.03846154
line_313	line_313	0.16666667
line_315	line_315	0.23076923
line_317	line_317	0.13461538
line_318	line_318	0.01923077
line_319	line_319	0.14285714
line_320	line_320	0.23076923
line_321	line_321	0.34615385
line_324	line_324	0.13461538
line_325	line_325	0.06666667
line_332	line_332	0.15384615
line_335	line_335	0.21153846
line_336	line_336	0.13157895
line_338	line_338	0.19230769
line_340	line_340	0.19047619
line_350	line_350	0.07317073
line_352	line_352	0.26923077
line_356	line_356	0.34615385
line_357	line_357	0.19642857
line_358	line_358	0.10714286
line_359	line_359	0.11538462
line_360	line_360	0.44230769
line_361	line_361	0.14285714
line_362	line_362	0.10714286
line_365	line_365	0.14285714
line_367	line_367	0.11538462
line_370	line_370	0.19230769
line_371	line_371	0.11538462
line_373	line_373	0.23404255
line_374	line_374	0.07692308
line_375	line_375	0.49090909
line_377	line_377	0.32692308
line_379	line_379	0.07142857
line_380	line_380	0.39285714
line_381	line_381	0.21153846
line_382	line_382	0.09523810
line_383	line_383	0.10638298
line_385	line_385	0.42857143
line_386	line_386	0.02083333
line_391	line_391	0.41071429
line_392	line_392	0.26923077
line_397	line_397	0.14285714
line_399	line_399	0.11764706
line_405	line_405	0.30769231
line_406	line_406	0.19230769
line_409	line_409	0.10638298
line_426	line_426	0.19230769
line_427	line_427	0.26666667
line_437	line_437	0.25000000
line_439	line_439	0.08333333
line_440	line_440	0.26923077
line_441	line_441	0.11538462
line_443	line_443	0.38461538
line_461	line_461	0.25581395
line_486	line_486	0.16000000
line_491	line_491	0.09615385
line_492	line_492	0.08823529
line_502	line_502	0.15384615
line_508	line_508	0.11538462
line_509	line_509	0.23076923
line_513	line_513	0.12765957
line_517	line_517	0.53846154
line_528	line_528	0.14285714
line_530	line_530	0.14285714
line_531	line_531	0.23529412
line_535	line_535	0.11538462
line_551	line_551	0.28571429
line_555	line_555	0.14285714
line_559	line_559	0.28571429
line_563	line_563	0.15384615
line_566	line_566	0.28571429
line_584	line_584	0.14285714
line_589	line_589	0.05769231
line_595	line_595	0.11538462
line_627	line_627	0.28571429
line_630	line_630	0.71428571
line_639	line_639	0.05454545
line_642	line_642	0.15384615
line_646	line_646	0.10638298
line_703	line_703	0.12765957
line_705	line_705	0.21428571
line_707	line_707	0.11764706
line_712	line_712	0.10714286
line_714	line_714	0.27450980
line_716	line_716	0.11538462
line_721	line_721	0.05769231
line_727	line_727	0.48717949
line_730	line_730	0.25000000
line_732	line_732	0.12500000
line_737	line_737	0.29787234
line_738	line_738	0.48076923
line_748	line_748	0.04761905
line_757	line_757	0.40000000
line_761	line_761	0.26923077
line_765	line_765	0.03571429
line_774	line_774	0.33928571
line_776	line_776	0.25000000
line_783	line_783	0.17021277
line_786	line_786	0.24444444
line_787	line_787	0.11538462
line_790	line_790	0.04255319
line_796	line_796	0.25000000
line_799	line_799	0.07142857
line_801	line_801	0.17307692
line_802	line_802	0.50000000
line_804	line_804	0.23076923
line_805	line_805	0.13461538
line_808	line_808	0.07692308
line_810	line_810	0.25000000
line_812	line_812	0.05769231
line_818	line_818	0.13461538
line_819	line_819	0.04761905
line_820	line_820	0.10714286
line_821	line_821	0.38095238
line_822	line_822	0.15384615
line_832	line_832	0.17307692
line_837	line_837	0.15384615
line_843	line_843	0.19047619
line_849	line_849	0.28571429
line_850	line_850	0.14285714
line_852	line_852	0.23214286
line_853	line_853	0.13157895
line_855	line_855	0.19230769
line_857	line_857	0.32692308
line_859	line_859	0.05882353
line_861	line_861	0.17307692
line_879	line_879	0.07692308
line_882	line_882	0.07692308
line_884	line_884	0.13461538
line_887	line_887	0.17500000
line_890	line_890	0.21153846
line_892	line_892	0.36170213
line_894	line_894	0.08888889
line_897	line_897	0.28846154
line_900	line_900	0.14285714
line_907	line_907	0.17307692
line_908	line_908	0.28846154
line_911	line_911	0.12765957
line_913	line_913	0.33333333
