FID	IID	low_extreme_M
line_21	line_21	0.28395062
line_26	line_26	0.22784810
line_28	line_28	0.15000000
line_31	line_31	0.22222222
line_32	line_32	0.40909091
line_38	line_38	0.13924051
line_40	line_40	0.21739130
line_41	line_41	0.02380952
line_42	line_42	0.35897436
line_45	line_45	0.16883117
line_48	line_48	0.08695652
line_49	line_49	0.08974359
line_57	line_57	0.12000000
line_59	line_59	0.08641975
line_69	line_69	0.15584416
line_73	line_73	0.15384615
line_75	line_75	0.03797468
line_83	line_83	0.15000000
line_85	line_85	0.06172840
line_88	line_88	0.20547945
line_91	line_91	0.13750000
line_93	line_93	0.12903226
line_100	line_100	0.09090909
line_101	line_101	0.15189873
line_105	line_105	0.05769231
line_109	line_109	0.14864865
line_129	line_129	0.17741935
line_136	line_136	0.02469136
line_138	line_138	0.22784810
line_142	line_142	0.13333333
line_149	line_149	0.07246377
line_153	line_153	0.14666667
line_158	line_158	0.14285714
line_161	line_161	0.12162162
line_176	line_176	0.19736842
line_177	line_177	0.28000000
line_181	line_181	0.09589041
line_189	line_189	0.29729730
line_195	line_195	0.14666667
line_208	line_208	0.12790698
line_217	line_217	0.12500000
line_223	line_223	0.18421053
line_227	line_227	0.08888889
line_228	line_228	0.22368421
line_229	line_229	0.13924051
line_233	line_233	0.14084507
line_235	line_235	0.23287671
line_237	line_237	0.04000000
line_239	line_239	0.07407407
line_256	line_256	0.17142857
line_280	line_280	0.06849315
line_287	line_287	0.17567568
line_301	line_301	0.06779661
line_303	line_303	0.11111111
line_304	line_304	0.16071429
line_306	line_306	0.14814815
line_307	line_307	0.14285714
line_309	line_309	0.15789474
line_310	line_310	0.13698630
line_313	line_313	0.12500000
line_315	line_315	0.10843373
line_317	line_317	0.10416667
line_318	line_318	0.22500000
line_319	line_319	0.10344828
line_320	line_320	0.26190476
line_321	line_321	0.13043478
line_324	line_324	0.13253012
line_325	line_325	0.23943662
line_332	line_332	0.16883117
line_335	line_335	0.40000000
line_336	line_336	0.12676056
line_338	line_338	0.10256410
line_340	line_340	0.21212121
line_348	line_348	0.16666667
line_350	line_350	0.16455696
line_352	line_352	0.40000000
line_354	line_354	0.04545455
line_355	line_355	0.18750000
line_356	line_356	0.16000000
line_357	line_357	0.15294118
line_358	line_358	0.16666667
line_359	line_359	0.07792208
line_360	line_360	0.20238095
line_361	line_361	0.14634146
line_362	line_362	0.10714286
line_365	line_365	0.22093023
