FID	IID	low_extreme_NA
line_21	line_21	0.07692308
line_26	line_26	0.19230769
line_28	line_28	0.10416667
line_32	line_32	0.14285714
line_38	line_38	0.10416667
line_40	line_40	0.07692308
line_41	line_41	0.36170213
line_42	line_42	0.19230769
line_45	line_45	0.23076923
line_48	line_48	0.28571429
line_49	line_49	0.09090909
line_57	line_57	0.15384615
line_59	line_59	0.17307692
line_69	line_69	0.11538462
line_73	line_73	0.19148936
line_75	line_75	0.15384615
line_83	line_83	0.13461538
line_85	line_85	0.31372549
line_88	line_88	0.26829268
line_91	line_91	0.19230769
line_93	line_93	0.09615385
line_100	line_100	0.14285714
line_101	line_101	0.23076923
line_105	line_105	0.25531915
line_109	line_109	0.63414634
line_129	line_129	0.32692308
line_136	line_136	0.04878049
line_138	line_138	0.20833333
line_142	line_142	0.13461538
line_149	line_149	0.30769231
line_153	line_153	0.39583333
line_158	line_158	0.71153846
line_161	line_161	0.29787234
line_176	line_176	0.03846154
line_177	line_177	0.09615385
line_181	line_181	0.12765957
line_189	line_189	0.19047619
line_195	line_195	0.23076923
line_208	line_208	0.14285714
line_217	line_217	0.34615385
line_223	line_223	0.80000000
line_227	line_227	0.23076923
line_228	line_228	0.34615385
line_229	line_229	0.32692308
line_233	line_233	0.38888889
line_235	line_235	0.09615385
line_237	line_237	0.13461538
line_239	line_239	0.13461538
line_256	line_256	0.13043478
line_280	line_280	0.05769231
line_287	line_287	0.49019608
line_301	line_301	0.31428571
line_303	line_303	0.50000000
line_304	line_304	0.57142857
line_306	line_306	0.35135135
line_307	line_307	0.22000000
line_309	line_309	0.15384615
line_310	line_310	0.25000000
line_313	line_313	0.22222222
line_315	line_315	0.30769231
line_317	line_317	0.36538462
line_318	line_318	0.01923077
line_320	line_320	0.07692308
line_321	line_321	0.13461538
line_324	line_324	0.36538462
line_325	line_325	0.33333333
line_332	line_332	0.21153846
line_335	line_335	0.30769231
line_336	line_336	0.28947368
line_338	line_338	0.32692308
line_340	line_340	0.28571429
line_348	line_348	0.42857143
line_350	line_350	0.24390244
line_352	line_352	0.19230769
line_354	line_354	0.14285714
line_356	line_356	0.15384615
line_357	line_357	0.10714286
line_358	line_358	0.16071429
line_359	line_359	0.23076923
line_360	line_360	0.30769231
line_361	line_361	0.33333333
line_362	line_362	0.44642857
line_365	line_365	0.12500000
line_367	line_367	0.21153846
line_370	line_370	0.09615385
line_371	line_371	0.44230769
line_373	line_373	0.02127660
line_374	line_374	0.19230769
line_375	line_375	0.05454545
line_377	line_377	0.15384615
line_379	line_379	0.35714286
line_380	line_380	0.01785714
line_381	line_381	0.19230769
line_382	line_382	0.04761905
line_383	line_383	0.12765957
line_386	line_386	0.43750000
line_391	line_391	0.01785714
line_392	line_392	0.15384615
line_397	line_397	0.42857143
line_399	line_399	0.03921569
line_405	line_405	0.23076923
line_406	line_406	0.26923077
line_409	line_409	0.42553191
line_426	line_426	0.09615385
line_427	line_427	0.08888889
line_437	line_437	0.08928571
line_439	line_439	0.22916667
line_440	line_440	0.03846154
line_441	line_441	0.07692308
line_443	line_443	0.09615385
line_461	line_461	0.25581395
line_486	line_486	0.44000000
line_491	line_491	0.15384615
line_492	line_492	0.05882353
line_502	line_502	0.15384615
line_508	line_508	0.11538462
line_509	line_509	0.05769231
line_513	line_513	0.21276596
line_517	line_517	0.03846154
line_530	line_530	0.14285714
line_531	line_531	0.17647059
line_535	line_535	0.09615385
line_551	line_551	0.14285714
line_555	line_555	0.14285714
line_563	line_563	0.01923077
line_566	line_566	0.28571429
line_584	line_584	0.28571429
line_589	line_589	0.23076923
line_595	line_595	0.21153846
line_630	line_630	0.14285714
line_639	line_639	0.10909091
line_642	line_642	0.03846154
line_646	line_646	0.42553191
line_703	line_703	0.12765957
line_705	line_705	0.08928571
line_707	line_707	0.23529412
line_712	line_712	0.08928571
line_714	line_714	0.09803922
line_716	line_716	0.21153846
line_721	line_721	0.05769231
line_727	line_727	0.02564103
line_730	line_730	0.32692308
line_732	line_732	0.12500000
line_737	line_737	0.12765957
line_738	line_738	0.09615385
line_748	line_748	0.42857143
line_757	line_757	0.02222222
line_761	line_761	0.03846154
line_765	line_765	0.12500000
line_774	line_774	0.16071429
line_776	line_776	0.05769231
line_783	line_783	0.08510638
line_786	line_786	0.15555556
line_787	line_787	0.17307692
line_790	line_790	0.04255319
line_796	line_796	0.01923077
line_799	line_799	0.21428571
line_801	line_801	0.38461538
line_802	line_802	0.14583333
line_804	line_804	0.17307692
line_805	line_805	0.03846154
line_808	line_808	0.26923077
line_810	line_810	0.01923077
line_812	line_812	0.23076923
line_818	line_818	0.25000000
line_819	line_819	0.28571429
line_820	line_820	0.19642857
line_821	line_821	0.33333333
line_822	line_822	0.21153846
line_832	line_832	0.34615385
line_837	line_837	0.21153846
line_843	line_843	0.42857143
line_849	line_849	0.04761905
line_850	line_850	0.23809524
line_852	line_852	0.17857143
line_853	line_853	0.18421053
line_855	line_855	0.19230769
line_857	line_857	0.19230769
line_859	line_859	0.15686275
line_861	line_861	0.34615385
line_879	line_879	0.40384615
line_882	line_882	0.05769231
line_884	line_884	0.23076923
line_887	line_887	0.07500000
line_890	line_890	0.01923077
line_892	line_892	0.12765957
line_894	line_894	0.28888889
line_897	line_897	0.05769231
line_900	line_900	0.57142857
line_907	line_907	0.11538462
line_908	line_908	0.30769231
line_911	line_911	0.12765957
line_913	line_913	0.14285714
