FID	IID	mediocre_NA
line_21	line_21	0.6730769
line_26	line_26	0.7115385
line_28	line_28	0.8333333
line_31	line_31	1.0000000
line_32	line_32	0.4285714
line_38	line_38	0.6250000
line_40	line_40	0.5576923
line_41	line_41	0.5531915
line_42	line_42	0.7307692
line_45	line_45	0.6730769
line_48	line_48	0.7142857
line_49	line_49	0.5454545
line_57	line_57	0.7307692
line_59	line_59	0.7692308
line_69	line_69	0.7692308
line_73	line_73	0.7659574
line_75	line_75	0.7692308
line_83	line_83	0.8076923
line_85	line_85	0.4509804
line_88	line_88	0.4878049
line_91	line_91	0.6153846
line_93	line_93	0.8653846
line_100	line_100	0.4285714
line_101	line_101	0.6153846
line_105	line_105	0.7021277
line_109	line_109	0.2439024
line_129	line_129	0.5961538
line_136	line_136	0.8292683
line_138	line_138	0.6458333
line_142	line_142	0.7115385
line_149	line_149	0.5769231
line_153	line_153	0.5625000
line_158	line_158	0.2307692
line_161	line_161	0.6595745
line_176	line_176	0.7692308
line_177	line_177	0.7500000
line_181	line_181	0.7021277
line_189	line_189	0.7619048
line_195	line_195	0.5961538
line_208	line_208	0.5535714
line_217	line_217	0.5384615
line_227	line_227	0.6923077
line_228	line_228	0.5961538
line_229	line_229	0.6153846
line_233	line_233	0.5277778
line_235	line_235	0.7500000
line_237	line_237	0.7500000
line_239	line_239	0.6538462
line_256	line_256	0.8478261
line_280	line_280	0.8461538
line_287	line_287	0.4313725
line_301	line_301	0.4857143
line_303	line_303	0.3846154
line_304	line_304	0.3428571
line_306	line_306	0.4324324
line_307	line_307	0.7000000
line_309	line_309	0.7115385
line_310	line_310	0.7115385
line_313	line_313	0.6111111
line_315	line_315	0.4615385
line_317	line_317	0.5000000
line_318	line_318	0.9615385
line_319	line_319	0.8571429
line_320	line_320	0.6923077
line_321	line_321	0.5192308
line_324	line_324	0.5000000
line_325	line_325	0.6000000
line_332	line_332	0.6346154
line_335	line_335	0.4807692
line_336	line_336	0.5789474
line_338	line_338	0.4807692
line_340	line_340	0.5238095
line_348	line_348	0.5714286
line_350	line_350	0.6829268
line_352	line_352	0.5384615
line_354	line_354	0.8571429
line_355	line_355	1.0000000
line_356	line_356	0.5000000
line_357	line_357	0.6964286
line_358	line_358	0.7321429
line_359	line_359	0.6538462
line_360	line_360	0.2500000
line_361	line_361	0.5238095
line_362	line_362	0.4464286
line_365	line_365	0.7321429
line_367	line_367	0.6730769
line_370	line_370	0.7115385
line_371	line_371	0.4423077
line_373	line_373	0.7446809
line_374	line_374	0.7307692
line_375	line_375	0.4545455
line_377	line_377	0.5192308
line_379	line_379	0.5714286
line_380	line_380	0.5892857
line_381	line_381	0.5961538
line_382	line_382	0.8571429
line_383	line_383	0.7659574
line_385	line_385	0.5714286
line_386	line_386	0.5416667
line_390	line_390	1.0000000
line_391	line_391	0.5714286
line_392	line_392	0.5769231
line_395	line_395	1.0000000
line_397	line_397	0.4285714
line_399	line_399	0.8431373
line_405	line_405	0.4615385
line_406	line_406	0.5384615
line_409	line_409	0.4680851
line_426	line_426	0.7115385
line_427	line_427	0.6444444
line_437	line_437	0.6607143
line_439	line_439	0.6875000
line_440	line_440	0.6923077
line_441	line_441	0.8076923
line_443	line_443	0.5192308
line_461	line_461	0.4883721
line_486	line_486	0.4000000
line_491	line_491	0.7500000
line_492	line_492	0.8529412
line_502	line_502	0.6923077
line_505	line_505	1.0000000
line_508	line_508	0.7692308
line_509	line_509	0.7115385
line_513	line_513	0.6595745
line_517	line_517	0.4230769
line_528	line_528	0.8571429
line_530	line_530	0.7142857
line_531	line_531	0.5882353
line_535	line_535	0.7884615
line_551	line_551	0.5714286
line_555	line_555	0.7142857
line_559	line_559	0.7142857
line_563	line_563	0.8269231
line_566	line_566	0.4285714
line_584	line_584	0.5714286
line_589	line_589	0.7115385
line_595	line_595	0.6730769
line_596	line_596	1.0000000
line_627	line_627	0.7142857
line_630	line_630	0.1428571
line_634	line_634	1.0000000
line_639	line_639	0.8363636
line_642	line_642	0.8076923
line_646	line_646	0.4680851
line_703	line_703	0.7446809
line_705	line_705	0.6964286
line_707	line_707	0.6470588
line_712	line_712	0.8035714
line_714	line_714	0.6274510
line_716	line_716	0.6730769
line_721	line_721	0.8846154
line_727	line_727	0.4871795
line_730	line_730	0.4230769
line_732	line_732	0.7500000
line_737	line_737	0.5744681
line_738	line_738	0.4230769
line_748	line_748	0.5238095
line_757	line_757	0.5777778
line_761	line_761	0.6923077
line_765	line_765	0.8392857
line_774	line_774	0.5000000
line_776	line_776	0.6923077
line_783	line_783	0.7446809
line_786	line_786	0.6000000
line_787	line_787	0.7115385
line_790	line_790	0.9148936
line_796	line_796	0.7307692
line_799	line_799	0.7142857
line_801	line_801	0.4423077
line_802	line_802	0.3541667
line_804	line_804	0.5961538
line_805	line_805	0.8269231
line_808	line_808	0.6538462
line_810	line_810	0.7307692
line_812	line_812	0.7115385
line_818	line_818	0.6153846
line_819	line_819	0.6666667
line_820	line_820	0.6964286
line_821	line_821	0.2857143
line_822	line_822	0.6346154
line_832	line_832	0.4807692
line_837	line_837	0.6346154
line_843	line_843	0.3809524
line_849	line_849	0.6666667
line_850	line_850	0.6190476
line_852	line_852	0.5892857
line_853	line_853	0.6842105
line_855	line_855	0.6153846
line_857	line_857	0.4807692
line_859	line_859	0.7843137
line_861	line_861	0.4807692
line_879	line_879	0.5192308
line_882	line_882	0.8653846
line_884	line_884	0.6346154
line_887	line_887	0.7500000
line_890	line_890	0.7692308
line_892	line_892	0.5106383
line_894	line_894	0.6222222
line_897	line_897	0.6538462
line_900	line_900	0.2857143
line_907	line_907	0.7115385
line_908	line_908	0.4038462
line_911	line_911	0.7446809
line_913	line_913	0.5238095
