FID	IID	total_nr_phenotypes_NA
line_21	line_21	52.0
line_26	line_26	52.0
line_28	line_28	48.0
line_31	line_31	 7.0
line_32	line_32	 7.0
line_38	line_38	48.0
line_40	line_40	52.0
line_41	line_41	47.0
line_42	line_42	52.0
line_45	line_45	52.0
line_48	line_48	 7.0
line_49	line_49	33.0
line_57	line_57	52.0
line_59	line_59	52.0
line_69	line_69	52.0
line_73	line_73	47.0
line_75	line_75	52.0
line_83	line_83	52.0
line_85	line_85	51.0
line_88	line_88	41.0
line_91	line_91	52.0
line_93	line_93	52.0
line_100	line_100	 7.0
line_101	line_101	52.0
line_105	line_105	47.0
line_109	line_109	41.0
line_129	line_129	52.0
line_136	line_136	41.0
line_138	line_138	48.0
line_142	line_142	52.0
line_149	line_149	52.0
line_153	line_153	48.0
line_158	line_158	52.0
line_161	line_161	47.0
line_176	line_176	52.0
line_177	line_177	52.0
line_181	line_181	47.0
line_189	line_189	21.0
line_195	line_195	52.0
line_208	line_208	56.0
line_217	line_217	52.0
line_223	line_223	 5.0
line_227	line_227	52.0
line_228	line_228	52.0
line_229	line_229	52.0
line_233	line_233	36.0
line_235	line_235	52.0
line_237	line_237	52.0
line_239	line_239	52.0
line_256	line_256	46.0
line_280	line_280	52.0
line_287	line_287	51.0
line_301	line_301	35.0
line_303	line_303	52.0
line_304	line_304	35.0
line_306	line_306	37.0
line_307	line_307	50.0
line_309	line_309	52.0
line_310	line_310	52.0
line_313	line_313	54.0
line_315	line_315	52.0
line_317	line_317	52.0
line_318	line_318	52.0
line_319	line_319	 7.0
line_320	line_320	52.0
line_321	line_321	52.0
line_324	line_324	52.0
line_325	line_325	30.0
line_332	line_332	52.0
line_335	line_335	52.0
line_336	line_336	38.0
line_338	line_338	52.0
line_340	line_340	21.0
line_348	line_348	 7.0
line_350	line_350	41.0
line_352	line_352	52.0
line_354	line_354	 7.0
line_355	line_355	 2.0
line_356	line_356	52.0
line_357	line_357	56.0
line_358	line_358	56.0
line_359	line_359	52.0
line_360	line_360	52.0
line_361	line_361	21.0
line_362	line_362	56.0
line_365	line_365	56.0
line_367	line_367	52.0
line_370	line_370	52.0
line_371	line_371	52.0
line_373	line_373	47.0
line_374	line_374	52.0
line_375	line_375	55.0
line_377	line_377	52.0
line_379	line_379	56.0
line_380	line_380	56.0
line_381	line_381	52.0
line_382	line_382	21.0
line_383	line_383	47.0
line_385	line_385	21.0
line_386	line_386	48.0
line_390	line_390	 7.0
line_391	line_391	56.0
line_392	line_392	52.0
line_395	line_395	 7.0
line_397	line_397	 7.0
line_399	line_399	51.0
line_405	line_405	52.0
line_406	line_406	52.0
line_409	line_409	47.0
line_426	line_426	52.0
line_427	line_427	45.0
line_437	line_437	56.0
line_439	line_439	48.0
line_440	line_440	52.0
line_441	line_441	52.0
line_443	line_443	52.0
line_461	line_461	43.0
line_486	line_486	50.0
line_491	line_491	52.0
line_492	line_492	34.0
line_502	line_502	52.0
line_505	line_505	 2.0
line_508	line_508	52.0
line_509	line_509	52.0
line_513	line_513	47.0
line_517	line_517	52.0
line_528	line_528	 7.0
line_530	line_530	21.0
line_531	line_531	51.0
line_535	line_535	52.0
line_551	line_551	 7.0
line_555	line_555	56.0
line_559	line_559	 7.0
line_563	line_563	52.0
line_566	line_566	 7.0
line_584	line_584	21.0
line_589	line_589	52.0
line_595	line_595	52.0
line_596	line_596	 2.0
line_627	line_627	 7.0
line_630	line_630	 7.0
line_634	line_634	 7.0
line_639	line_639	55.0
line_642	line_642	52.0
line_646	line_646	47.0
line_703	line_703	47.0
line_705	line_705	56.0
line_707	line_707	51.0
line_712	line_712	56.0
line_714	line_714	51.0
line_716	line_716	52.0
line_721	line_721	52.0
line_727	line_727	39.0
line_730	line_730	52.0
line_732	line_732	56.0
line_737	line_737	47.0
line_738	line_738	52.0
line_748	line_748	21.0
line_757	line_757	45.0
line_761	line_761	52.0
line_765	line_765	56.0
line_774	line_774	56.0
line_776	line_776	52.0
line_783	line_783	47.0
line_786	line_786	45.0
line_787	line_787	52.0
line_790	line_790	47.0
line_796	line_796	52.0
line_799	line_799	56.0
line_801	line_801	52.0
line_802	line_802	48.0
line_804	line_804	52.0
line_805	line_805	52.0
line_808	line_808	52.0
line_810	line_810	52.0
line_812	line_812	52.0
line_818	line_818	52.0
line_819	line_819	21.0
line_820	line_820	56.0
line_821	line_821	21.0
line_822	line_822	52.0
line_832	line_832	52.0
line_837	line_837	52.0
line_843	line_843	21.0
line_849	line_849	21.0
line_850	line_850	21.0
line_852	line_852	56.0
line_853	line_853	38.0
line_855	line_855	52.0
line_857	line_857	52.0
line_859	line_859	51.0
line_861	line_861	52.0
line_879	line_879	52.0
line_882	line_882	52.0
line_884	line_884	52.0
line_887	line_887	40.0
line_890	line_890	52.0
line_892	line_892	47.0
line_894	line_894	45.0
line_897	line_897	52.0
line_900	line_900	21.0
line_907	line_907	52.0
line_908	line_908	52.0
line_911	line_911	47.0
line_913	line_913	21.0
