DGRP	sex	Arya_Longevity_M
DGRP_021	M	38.43
DGRP_026	M	42.06
DGRP_028	M	43.28
DGRP_032	M	43.75
DGRP_038	M	65.87
DGRP_040	M	51.28
DGRP_042	M	50.52
DGRP_045	M	46.79
DGRP_048	M	54.44
DGRP_049	M	56.12
DGRP_059	M	43.89
DGRP_069	M	36.54
DGRP_073	M	50.16
DGRP_075	M	53.5
DGRP_083	M	52
DGRP_085	M	51.65
DGRP_088	M	55.28
DGRP_091	M	41.42
DGRP_093	M	44.96
DGRP_100	M	71.88
DGRP_101	M	63.25
DGRP_105	M	63.05
DGRP_109	M	51.58
DGRP_129	M	62.72
DGRP_136	M	63.54
DGRP_138	M	38.08
DGRP_158	M	58.74
DGRP_208	M	46.44
DGRP_217	M	55.57
DGRP_223	M	47.29
DGRP_229	M	65.35
DGRP_239	M	61.39
DGRP_301	M	56.92
DGRP_303	M	58.04
DGRP_304	M	85.42
DGRP_306	M	62.65
DGRP_307	M	47.52
DGRP_309	M	59.79
DGRP_313	M	79.63
DGRP_315	M	57.48
DGRP_317	M	52.07
DGRP_318	M	55.76
DGRP_319	M	50.21
DGRP_321	M	51
DGRP_324	M	37.72
DGRP_325	M	45.92
DGRP_332	M	48.48
DGRP_335	M	53
DGRP_336	M	52.39
DGRP_338	M	56.73
DGRP_350	M	58.39
DGRP_354	M	47.73
DGRP_357	M	48.72
DGRP_358	M	55.17
DGRP_359	M	44.13
DGRP_360	M	54.96
DGRP_361	M	44.6
DGRP_362	M	63.08
DGRP_365	M	63.48
DGRP_370	M	46.75
DGRP_373	M	65.35
DGRP_375	M	61.36
DGRP_379	M	41.2
DGRP_380	M	45.81
DGRP_383	M	54.08
DGRP_390	M	45.8
DGRP_391	M	43.09
DGRP_397	M	52.91
DGRP_399	M	56.83
DGRP_406	M	65.68
DGRP_427	M	57.68
DGRP_437	M	67.05
DGRP_440	M	57.08
DGRP_443	M	51.21
DGRP_486	M	62.33
DGRP_492	M	56.57
DGRP_517	M	45.67
DGRP_528	M	46.86
DGRP_555	M	57.61
DGRP_566	M	50.58
DGRP_589	M	41.71
DGRP_627	M	62.2
DGRP_639	M	68.74
DGRP_703	M	17.65
DGRP_705	M	67.27
DGRP_707	M	46.74
DGRP_712	M	39.71
DGRP_714	M	66
DGRP_721	M	44.79
DGRP_730	M	56.36
DGRP_732	M	56.5
DGRP_737	M	44.08
DGRP_738	M	51.36
DGRP_748	M	42.96
DGRP_757	M	27.91
DGRP_761	M	46.78
DGRP_765	M	30.57
DGRP_774	M	59.35
DGRP_776	M	46.16
DGRP_786	M	48.44
DGRP_787	M	50.36
DGRP_790	M	37.75
DGRP_796	M	38.72
DGRP_799	M	59.91
DGRP_801	M	52.87
DGRP_802	M	52.39
DGRP_804	M	40.7
DGRP_805	M	46.09
DGRP_808	M	44.16
DGRP_812	M	47.28
DGRP_819	M	44.08
DGRP_820	M	42.8
DGRP_822	M	55.5
DGRP_837	M	73.16
DGRP_849	M	48.68
DGRP_852	M	57.96
DGRP_853	M	50.7
DGRP_855	M	60.24
DGRP_857	M	67.87
DGRP_859	M	52.52
DGRP_861	M	57.48
DGRP_879	M	56.08
DGRP_882	M	54.76
DGRP_887	M	49.2
DGRP_890	M	41.13
DGRP_892	M	52.48
DGRP_894	M	57.52
DGRP_900	M	49.85
DGRP_907	M	52.43
DGRP_908	M	47.67
DGRP_911	M	45.61
DGRP_913	M	61.1
