FID	IID	Arya_Longevity_F_F
line_21	line_21	49.76
line_26	line_26	46.39
line_28	line_28	54.00
line_32	line_32	52.56
line_38	line_38	48.27
line_40	line_40	56.84
line_42	line_42	45.80
line_45	line_45	48.27
line_48	line_48	57.83
line_49	line_49	53.84
line_59	line_59	58.52
line_69	line_69	45.13
line_73	line_73	52.33
line_75	line_75	44.56
line_83	line_83	68.40
line_85	line_85	41.95
line_88	line_88	58.79
line_91	line_91	53.64
line_93	line_93	46.58
line_100	line_100	63.08
line_101	line_101	75.83
line_105	line_105	63.89
line_109	line_109	60.60
line_129	line_129	58.13
line_136	line_136	76.56
line_138	line_138	40.64
line_158	line_158	54.85
line_208	line_208	53.76
line_217	line_217	67.52
line_223	line_223	48.73
line_229	line_229	45.27
line_239	line_239	68.48
line_301	line_301	63.00
line_303	line_303	57.36
line_304	line_304	74.76
line_306	line_306	58.78
line_307	line_307	44.64
line_309	line_309	52.57
line_313	line_313	80.29
line_315	line_315	66.92
line_317	line_317	53.76
line_318	line_318	49.36
line_319	line_319	62.17
line_321	line_321	49.46
line_324	line_324	48.00
line_325	line_325	42.61
line_332	line_332	55.92
line_335	line_335	67.75
line_336	line_336	58.25
line_338	line_338	60.89
line_350	line_350	59.25
line_354	line_354	59.83
line_357	line_357	58.36
line_358	line_358	62.67
line_359	line_359	56.28
line_360	line_360	39.91
line_361	line_361	48.40
line_362	line_362	60.33
line_365	line_365	48.24
line_370	line_370	56.82
line_373	line_373	68.24
line_375	line_375	62.60
line_379	line_379	68.08
line_380	line_380	57.96
line_383	line_383	56.84
line_390	line_390	57.80
line_391	line_391	49.55
line_397	line_397	54.75
line_399	line_399	59.26
line_406	line_406	58.00
line_427	line_427	52.08
line_437	line_437	57.76
line_440	line_440	65.00
line_443	line_443	60.64
line_486	line_486	65.33
line_492	line_492	62.79
line_517	line_517	63.20
line_528	line_528	51.08
line_555	line_555	51.44
line_566	line_566	65.32
line_589	line_589	65.96
line_627	line_627	65.17
line_639	line_639	75.82
line_703	line_703	32.60
line_705	line_705	63.67
line_707	line_707	60.64
line_712	line_712	45.52
line_714	line_714	69.28
line_721	line_721	43.36
line_730	line_730	53.28
line_732	line_732	66.76
line_737	line_737	53.16
line_738	line_738	59.88
line_748	line_748	58.17
line_757	line_757	29.65
line_761	line_761	46.80
line_765	line_765	33.96
line_774	line_774	64.36
line_776	line_776	59.75
line_786	line_786	53.83
line_787	line_787	44.92
line_790	line_790	49.48
line_796	line_796	42.32
line_799	line_799	60.00
line_801	line_801	69.44
line_802	line_802	49.84
line_804	line_804	67.24
line_805	line_805	51.17
line_808	line_808	52.48
line_812	line_812	57.04
line_819	line_819	40.40
line_820	line_820	38.92
line_822	line_822	53.58
line_837	line_837	60.09
line_849	line_849	58.05
line_852	line_852	49.88
line_853	line_853	47.32
line_855	line_855	54.58
line_857	line_857	54.83
line_859	line_859	60.84
line_861	line_861	55.67
line_879	line_879	59.68
line_882	line_882	53.54
line_887	line_887	48.04
line_890	line_890	50.79
line_892	line_892	51.42
line_894	line_894	61.54
line_900	line_900	46.71
line_907	line_907	60.44
line_908	line_908	47.29
line_911	line_911	37.68
line_913	line_913	56.61
