dgrp	nber_studies	nber_phenotypes	dgrp_status	fbsn	bloomington_id
DGRP_010	1	5	unavailable		
DGRP_021	50	436	available	FBsn0000006	28122
DGRP_023	1	5	unavailable		
DGRP_026	58	599	available	FBsn0000007	28123
DGRP_028	58	589	available	FBsn0000008	28124
DGRP_031	27	235	available	FBsn0000285	55014
DGRP_032	26	158	available	FBsn0000286	55015
DGRP_036	1	4	unavailable		
DGRP_038	59	539	available	FBsn0000009	28125
DGRP_040	50	469	available	FBsn0000010	29651
DGRP_041	47	372	available	FBsn0000011	28126
DGRP_042	56	475	available	FBsn0000012	28127
DGRP_045	55	532	available	FBsn0000013	28128
DGRP_048	27	212	available	FBsn0000287	55016
DGRP_049	32	354	genotyped	FBsn0000014	
DGRP_055	1	33	unavailable		
DGRP_057	58	540	available	FBsn0000015	29652
DGRP_059	56	575	available	FBsn0000016	28129
DGRP_069	50	438	available	FBsn0000017	28130
DGRP_073	56	610	available	FBsn0000018	28131
DGRP_075	55	557	available	FBsn0000019	28132
DGRP_080	6	26	unavailable	FBsn0000020	
DGRP_083	57	578	available	FBsn0000021	28134
DGRP_084	1	4	unavailable		
DGRP_085	55	569	available	FBsn0000022	28274
DGRP_086	1	4	unavailable		
DGRP_087	1	4	unavailable		
DGRP_088	53	433	available	FBsn0000023	28135
DGRP_089	1	4	unavailable		
DGRP_091	55	507	available	FBsn0000024	28136
DGRP_093	55	489	available	FBsn0000025	28137
DGRP_094	1	4	unavailable		
DGRP_098	1	4	unavailable		
DGRP_100	27	220	available	FBsn0000288	55017
DGRP_101	56	533	available	FBsn0000026	28138
DGRP_102	1	4	unavailable		
DGRP_103	1	4	unavailable		
DGRP_105	56	580	available	FBsn0000027	28139
DGRP_106	1	4	unavailable		
DGRP_107	1	4	unavailable		
DGRP_108	1	4	unavailable		
DGRP_109	57	603	available	FBsn0000028	28140
DGRP_110	2	8	unavailable		
DGRP_112	1	4	unavailable		
DGRP_113	2	8	unavailable		
DGRP_115	1	4	unavailable		
DGRP_117	1	4	unavailable		
DGRP_118	1	4	unavailable		
DGRP_119	1	4	unavailable		
DGRP_123	1	4	unavailable		
DGRP_124	1	4	unavailable		
DGRP_125	1	4	unavailable		
DGRP_129	58	498	available	FBsn0000029	28141
DGRP_136	55	484	available	FBsn0000030	28142
DGRP_138	56	454	available	FBsn0000031	28143
DGRP_142	58	530	available	FBsn0000032	28144
DGRP_149	56	577	available	FBsn0000033	28145
DGRP_153	56	483	available	FBsn0000034	28146
DGRP_158	56	450	genotyped	FBsn0000035	28147
DGRP_159	1	4	unavailable		
DGRP_161	52	515	available	FBsn0000036	28148
DGRP_176	56	558	available	FBsn0000037	28149
DGRP_177	54	460	available	FBsn0000038	28150
DGRP_181	56	560	available	FBsn0000039	28151
DGRP_189	37	300	available	FBsn0000040	28152
DGRP_190	1	12	unavailable		
